State,StateCode,DistrictName,DistrictCode,Latitude,Longitude
Andaman And Nicobar Islands,AN,Nicobars,603,8,93.5
Andaman And Nicobar Islands,AN,North And Middle Andaman,632,12.84095277,92.8692099
Andaman And Nicobar Islands,AN,South Andamans,602,11.50569706,92.64196482
Andhra Pradesh,AP,Alluri Sitharama Raju,745,16.5062,80.648
Andhra Pradesh,AP,Anakapalli,744,16.5062,80.648
Andhra Pradesh,AP,Anantapur,502,14.68352,77.58195
Andhra Pradesh,AP,Annamayya,753,16.5062,80.648
Andhra Pradesh,AP,Bapatla,750,16.5062,80.648
Andhra Pradesh,AP,Chittoor,503,13.20604,79.08833
Andhra Pradesh,AP,East Godavari,505,16.96036,82.23809
Andhra Pradesh,AP,Eluru,748,16.5062,80.648
Andhra Pradesh,AP,Guntur,506,16.29974,80.45729
Andhra Pradesh,AP,Kakinada,746,16.5062,80.648
Andhra Pradesh,AP,Konaseema,747,16.5062,80.648
Andhra Pradesh,AP,Krishna,510,16.18747,81.13888
Andhra Pradesh,AP,Kurnool,511,15.82551,78.03012
Andhra Pradesh,AP,Nandyal,755,16.5062,80.648
Andhra Pradesh,AP,Ntr,749,28.64711858,77.21977262
Andhra Pradesh,AP,Palnadu,751,16.5062,80.648
Andhra Pradesh,AP,Parvathipuram Manyam,743,16.5062,80.648
Andhra Pradesh,AP,Prakasam,517,15.51761,80.0599
Andhra Pradesh,AP,Spsr Nellore,515,14.08333,79.58333
Andhra Pradesh,AP,Srikakulam,519,18.2989,83.89751
Andhra Pradesh,AP,Sri Sathya Sai,754,16.5062,80.648
Andhra Pradesh,AP,Tirupati,752,16.5062,80.648
Andhra Pradesh,AP,Visakhapatanam,520,23.8507,72.12963
Andhra Pradesh,AP,Vizianagaram,521,18.11825,83.41798
Andhra Pradesh,AP,West Godavari,523,16.71311,81.10437
Andhra Pradesh,AP,Y.S.R.,504,13.87457,79.5388
Arunachal Pradesh,AR,Anjaw,628,28.04142611,96.83475135
Arunachal Pradesh,AR,Changlang,229,27.37421556,96.35447761
Arunachal Pradesh,AR,Dibang Valley,230,28.85757419,95.9117829
Arunachal Pradesh,AR,East Kameng,231,27.59981787,92.92209379
Arunachal Pradesh,AR,East Siang,232,28.0493143,95.34435148
Arunachal Pradesh,AR,Kamle,718,27.77785994,94.12304359
Arunachal Pradesh,AR,Kra Daadi,677,27.99767559,93.70192312
Arunachal Pradesh,AR,Kurung Kumey,233,28.00721911,93.20722546
Arunachal Pradesh,AR,Leparada,724,27.93550607,94.71149751
Arunachal Pradesh,AR,Lohit,234,27.88832904,96.34336336
